encoder,model_name,feature_dir,accuracy,macro_f1,weighted_f1,best_epoch,best_val_loss,train_time_seconds,num_classes,train_samples,val_samples,test_samples
tfidf,sklearn TfidfVectorizer,data/tfidf_depth1,0.7321638655462185,0.5923687312314965,0.7100494106957694,118,0.9985848665237427,11.307040969841182,18,222130,47599,47600
bow,sklearn CountVectorizer,data/bow_depth1,0.7476470588235294,0.6571685000748804,0.7339621921589222,124,0.919705331325531,10.31236865837127,18,222130,47599,47600
sbert,sentence-transformers/all-MiniLM-L6-v2,data/sbert_depth1,0.764936974789916,0.6804118898915202,0.7512015069310001,178,0.8671019673347473,19.63282812386751,18,222130,47599,47600
qwen06b,Qwen/Qwen3-Embedding-0.6B,data/qwen_depth1,0.761218487394958,0.6687486051034095,0.7451329120992878,135,0.8679767847061157,11.149064251221716,18,222130,47599,47600
qwen4b,Qwen/Qwen3-Embedding-4B,data/qwen4b_depth1,0.7778361344537815,0.6884006037406696,0.7629532243781789,124,0.8070345520973206,10.293562725186348,18,222130,47599,47600
qwen8b,Qwen/Qwen3-Embedding-8B,data/qwen8b_depth1,0.7834453781512605,0.698769370088053,0.7691715344674095,148,0.7840721011161804,12.589343684725463,18,222130,47599,47600
