encoder,model_name,feature_dir,accuracy,macro_f1,weighted_f1,best_epoch,best_val_loss,train_time_seconds,num_classes,train_samples,val_samples,test_samples
tfidf,sklearn TfidfVectorizer,data/tfidf_depth1,0.7319957983193277,0.5922458516080246,0.7097696172425216,115,0.9966479539871216,10.371864876942709,18,222130,47599,47600
bow,sklearn CountVectorizer,data/bow_depth1,0.7475840336134454,0.6576687384710119,0.7337811656868362,137,0.9166337847709656,11.220945476787165,18,222130,47599,47600
sbert,sentence-transformers/all-MiniLM-L6-v2,data/sbert_depth1,0.7624579831932773,0.6770049485939917,0.7480331596657955,135,0.8729822635650635,15.07920984714292,18,222130,47599,47600
