encoder,model_name,feature_dir,accuracy,macro_f1,weighted_f1,best_epoch,best_val_loss,train_time_seconds,num_classes,train_samples,val_samples,test_samples
tfidf,sklearn TfidfVectorizer,data/tfidf_depth1,0.7017857142857142,0.5516319333370249,0.6757698975481904,200,1.0704504251480103,1.9468920161016285,18,222130,47599,47600
bow,sklearn CountVectorizer,data/bow_depth1,0.710063025210084,0.6076293549902592,0.6920462589426176,200,1.0104697942733765,1.408945678267628,18,222130,47599,47600
sbert,sentence-transformers/all-MiniLM-L6-v2,data/sbert_depth1,0.7356302521008403,0.6392015787905964,0.7181746958622544,200,0.9278172254562378,1.9314819849096239,18,222130,47599,47600
qwen06b,Qwen/Qwen3-Embedding-0.6B,data/qwen_depth1,0.7352521008403361,0.6330883136040956,0.7162790387964537,196,0.9185644388198853,1.2481438987888396,18,222130,47599,47600
qwen4b,Qwen/Qwen3-Embedding-4B,data/qwen4b_depth1,0.7607142857142857,0.6636404597348258,0.743648713926491,200,0.8282968401908875,1.4204182140529156,18,222130,47599,47600
qwen8b,Qwen/Qwen3-Embedding-8B,data/qwen8b_depth1,0.7690126050420169,0.67853370815153,0.7525234281519712,198,0.8025155663490295,1.2379211587831378,18,222130,47599,47600
