[LOAD] No existing TF-IDF features found in data/tfidf_depth1. Computing from scratch...              
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] TF-IDF encoding 317329 documents...                                                          
[ENCODE] TF-IDF done in 15.61s -> matrix (317329, 5000)                                               
                                                                                                      
[SAVE] TF-IDF matrix: (317329, 5000) -> data/tfidf_depth1                                             
[SAVE] Split indices: train=222130, test=95199 -> data/tfidf_depth1                                   
                                                                                                      
[LOAD] Loading split indices from data/tfidf_depth1                                                   
                                                                                                      
[TRAINING] Starting MLP training on TF-IDF features using device: cuda                                
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[EPOCH 90] train_loss=1.1174 val_loss=1.0833 val_acc=0.7019 epoch_time=0.03s total=3.64s *            
[EPOCH 91] train_loss=1.1170 val_loss=1.0831 val_acc=0.7020 epoch_time=0.03s total=3.67s *
[EPOCH 92] train_loss=1.1168 val_loss=1.0829 val_acc=0.7021 epoch_time=0.03s total=3.70s *            
[EPOCH 93] train_loss=1.1170 val_loss=1.0828 val_acc=0.7021 epoch_time=0.03s total=3.73s *            
[EPOCH 94] train_loss=1.1169 val_loss=1.0826 val_acc=0.7023 epoch_time=0.03s total=3.76s *            
[EPOCH 95] train_loss=1.1165 val_loss=1.0824 val_acc=0.7022 epoch_time=0.03s total=3.79s *            
[EPOCH 96] train_loss=1.1165 val_loss=1.0822 val_acc=0.7021 epoch_time=0.03s total=3.82s *            
[EPOCH 97] train_loss=1.1154 val_loss=1.0819 val_acc=0.7020 epoch_time=0.03s total=3.85s *            
[EPOCH 98] train_loss=1.1154 val_loss=1.0818 val_acc=0.7021 epoch_time=0.03s total=3.88s *            
[EPOCH 99] train_loss=1.1163 val_loss=1.0816 val_acc=0.7021 epoch_time=0.03s total=3.91s *            
[EPOCH 100] train_loss=1.1154 val_loss=1.0814 val_acc=0.7020 epoch_time=0.03s total=3.94s *           
[EPOCH 101] train_loss=1.1151 val_loss=1.0812 val_acc=0.7020 epoch_time=0.03s total=3.97s *           
[EPOCH 102] train_loss=1.1145 val_loss=1.0810 val_acc=0.7021 epoch_time=0.03s total=4.00s *           
[EPOCH 103] train_loss=1.1153 val_loss=1.0808 val_acc=0.7020 epoch_time=0.03s total=4.03s *           
[EPOCH 104] train_loss=1.1145 val_loss=1.0807 val_acc=0.7020 epoch_time=0.03s total=4.06s *           
[EPOCH 105] train_loss=1.1142 val_loss=1.0805 val_acc=0.7022 epoch_time=0.03s total=4.09s *           
[EPOCH 106] train_loss=1.1147 val_loss=1.0804 val_acc=0.7025 epoch_time=0.03s total=4.12s *           
[EPOCH 107] train_loss=1.1142 val_loss=1.0802 val_acc=0.7025 epoch_time=0.03s total=4.15s *           
[EPOCH 108] train_loss=1.1143 val_loss=1.0800 val_acc=0.7022 epoch_time=0.03s total=4.18s *           
[EPOCH 109] train_loss=1.1145 val_loss=1.0799 val_acc=0.7023 epoch_time=0.03s total=4.21s *           
[EPOCH 110] train_loss=1.1136 val_loss=1.0797 val_acc=0.7025 epoch_time=0.03s total=4.24s *           
[EPOCH 111] train_loss=1.1133 val_loss=1.0795 val_acc=0.7025 epoch_time=0.03s total=4.27s *           
[EPOCH 112] train_loss=1.1127 val_loss=1.0792 val_acc=0.7024 epoch_time=0.03s total=4.30s *           
[EPOCH 113] train_loss=1.1135 val_loss=1.0791 val_acc=0.7022 epoch_time=0.03s total=4.33s *           
[EPOCH 114] train_loss=1.1123 val_loss=1.0789 val_acc=0.7023 epoch_time=0.03s total=4.36s *           
[EPOCH 115] train_loss=1.1124 val_loss=1.0787 val_acc=0.7023 epoch_time=0.03s total=4.39s *           
[EPOCH 116] train_loss=1.1122 val_loss=1.0784 val_acc=0.7025 epoch_time=0.03s total=4.42s *           
[EPOCH 117] train_loss=1.1111 val_loss=1.0782 val_acc=0.7027 epoch_time=0.03s total=4.45s *           
[EPOCH 118] train_loss=1.1115 val_loss=1.0779 val_acc=0.7029 epoch_time=0.03s total=4.48s *           
[EPOCH 119] train_loss=1.1111 val_loss=1.0777 val_acc=0.7029 epoch_time=0.03s total=4.51s *           
[EPOCH 120] train_loss=1.1106 val_loss=1.0775 val_acc=0.7030 epoch_time=0.03s total=4.54s *           
[EPOCH 121] train_loss=1.1111 val_loss=1.0773 val_acc=0.7031 epoch_time=0.03s total=4.57s *           
[EPOCH 122] train_loss=1.1101 val_loss=1.0772 val_acc=0.7029 epoch_time=0.03s total=4.60s *           
[EPOCH 123] train_loss=1.1106 val_loss=1.0770 val_acc=0.7030 epoch_time=0.03s total=4.63s *           
[EPOCH 124] train_loss=1.1099 val_loss=1.0768 val_acc=0.7031 epoch_time=0.03s total=4.66s *           
[EPOCH 125] train_loss=1.1104 val_loss=1.0767 val_acc=0.7030 epoch_time=0.03s total=4.69s *           
[EPOCH 126] train_loss=1.1104 val_loss=1.0765 val_acc=0.7031 epoch_time=0.03s total=4.72s *           
[EPOCH 127] train_loss=1.1099 val_loss=1.0765 val_acc=0.7033 epoch_time=0.03s total=4.75s             
[EPOCH 128] train_loss=1.1096 val_loss=1.0764 val_acc=0.7031 epoch_time=0.03s total=4.77s *           
[EPOCH 129] train_loss=1.1102 val_loss=1.0763 val_acc=0.7029 epoch_time=0.03s total=4.80s *           
[EPOCH 130] train_loss=1.1086 val_loss=1.0761 val_acc=0.7029 epoch_time=0.03s total=4.83s *           
[EPOCH 131] train_loss=1.1093 val_loss=1.0759 val_acc=0.7031 epoch_time=0.03s total=4.86s *           
[EPOCH 132] train_loss=1.1092 val_loss=1.0758 val_acc=0.7031 epoch_time=0.03s total=4.89s *           
[EPOCH 133] train_loss=1.1091 val_loss=1.0757 val_acc=0.7028 epoch_time=0.03s total=4.92s *           
[EPOCH 134] train_loss=1.1092 val_loss=1.0756 val_acc=0.7030 epoch_time=0.03s total=4.95s *           
[EPOCH 135] train_loss=1.1083 val_loss=1.0754 val_acc=0.7031 epoch_time=0.03s total=4.98s *           
[EPOCH 136] train_loss=1.1086 val_loss=1.0752 val_acc=0.7031 epoch_time=0.03s total=5.01s *           
[EPOCH 137] train_loss=1.1082 val_loss=1.0751 val_acc=0.7030 epoch_time=0.03s total=5.04s *           
[EPOCH 138] train_loss=1.1081 val_loss=1.0750 val_acc=0.7028 epoch_time=0.03s total=5.07s *           
[EPOCH 139] train_loss=1.1079 val_loss=1.0749 val_acc=0.7030 epoch_time=0.03s total=5.10s             
[EPOCH 140] train_loss=1.1078 val_loss=1.0748 val_acc=0.7031 epoch_time=0.03s total=5.13s *           
[EPOCH 141] train_loss=1.1077 val_loss=1.0747 val_acc=0.7033 epoch_time=0.03s total=5.16s *           
[EPOCH 142] train_loss=1.1069 val_loss=1.0745 val_acc=0.7034 epoch_time=0.03s total=5.19s *           
[EPOCH 143] train_loss=1.1078 val_loss=1.0744 val_acc=0.7034 epoch_time=0.03s total=5.22s             
[EPOCH 144] train_loss=1.1074 val_loss=1.0744 val_acc=0.7033 epoch_time=0.03s total=5.25s *           
[EPOCH 145] train_loss=1.1067 val_loss=1.0743 val_acc=0.7033 epoch_time=0.03s total=5.28s             
[EPOCH 146] train_loss=1.1057 val_loss=1.0742 val_acc=0.7031 epoch_time=0.03s total=5.31s *           
[EPOCH 147] train_loss=1.1068 val_loss=1.0741 val_acc=0.7035 epoch_time=0.03s total=5.34s             
[EPOCH 148] train_loss=1.1066 val_loss=1.0741 val_acc=0.7035 epoch_time=0.03s total=5.37s             
[EPOCH 149] train_loss=1.1069 val_loss=1.0741 val_acc=0.7034 epoch_time=0.03s total=5.40s *
[EPOCH 150] train_loss=1.1068 val_loss=1.0740 val_acc=0.7032 epoch_time=0.03s total=5.43s             
[EPOCH 151] train_loss=1.1069 val_loss=1.0739 val_acc=0.7031 epoch_time=0.03s total=5.46s *           
[EPOCH 152] train_loss=1.1057 val_loss=1.0738 val_acc=0.7030 epoch_time=0.03s total=5.49s *           
[EPOCH 153] train_loss=1.1072 val_loss=1.0738 val_acc=0.7036 epoch_time=0.03s total=5.52s             
[EPOCH 154] train_loss=1.1051 val_loss=1.0737 val_acc=0.7035 epoch_time=0.03s total=5.55s *           
[EPOCH 155] train_loss=1.1062 val_loss=1.0736 val_acc=0.7033 epoch_time=0.03s total=5.58s             
[EPOCH 156] train_loss=1.1063 val_loss=1.0735 val_acc=0.7034 epoch_time=0.03s total=5.61s *           
[EPOCH 157] train_loss=1.1063 val_loss=1.0734 val_acc=0.7031 epoch_time=0.03s total=5.64s             
[EPOCH 158] train_loss=1.1068 val_loss=1.0734 val_acc=0.7034 epoch_time=0.03s total=5.67s *           
[EPOCH 159] train_loss=1.1057 val_loss=1.0733 val_acc=0.7035 epoch_time=0.03s total=5.70s             
[EPOCH 160] train_loss=1.1059 val_loss=1.0732 val_acc=0.7033 epoch_time=0.03s total=5.73s *           
[EPOCH 161] train_loss=1.1056 val_loss=1.0732 val_acc=0.7035 epoch_time=0.03s total=5.76s             
[EPOCH 162] train_loss=1.1054 val_loss=1.0731 val_acc=0.7036 epoch_time=0.03s total=5.79s *           
[EPOCH 163] train_loss=1.1054 val_loss=1.0730 val_acc=0.7037 epoch_time=0.03s total=5.82s             
[EPOCH 164] train_loss=1.1061 val_loss=1.0730 val_acc=0.7037 epoch_time=0.03s total=5.85s *           
[EPOCH 165] train_loss=1.1046 val_loss=1.0729 val_acc=0.7036 epoch_time=0.03s total=5.88s             
[EPOCH 166] train_loss=1.1053 val_loss=1.0729 val_acc=0.7036 epoch_time=0.03s total=5.91s *           
[EPOCH 167] train_loss=1.1056 val_loss=1.0729 val_acc=0.7035 epoch_time=0.03s total=5.94s             
[EPOCH 168] train_loss=1.1047 val_loss=1.0729 val_acc=0.7033 epoch_time=0.03s total=5.97s             
[EPOCH 169] train_loss=1.1049 val_loss=1.0728 val_acc=0.7032 epoch_time=0.03s total=6.00s             
[EPOCH 170] train_loss=1.1051 val_loss=1.0728 val_acc=0.7034 epoch_time=0.03s total=6.03s *           
[EPOCH 171] train_loss=1.1044 val_loss=1.0727 val_acc=0.7033 epoch_time=0.03s total=6.06s             
[EPOCH 172] train_loss=1.1050 val_loss=1.0726 val_acc=0.7031 epoch_time=0.03s total=6.09s *           
[EPOCH 173] train_loss=1.1046 val_loss=1.0725 val_acc=0.7034 epoch_time=0.03s total=6.12s             
[EPOCH 174] train_loss=1.1051 val_loss=1.0724 val_acc=0.7035 epoch_time=0.03s total=6.15s *           
[EPOCH 175] train_loss=1.1047 val_loss=1.0723 val_acc=0.7033 epoch_time=0.03s total=6.18s             
[EPOCH 176] train_loss=1.1041 val_loss=1.0723 val_acc=0.7031 epoch_time=0.03s total=6.21s *           
[EPOCH 177] train_loss=1.1049 val_loss=1.0722 val_acc=0.7033 epoch_time=0.03s total=6.24s             
[EPOCH 178] train_loss=1.1041 val_loss=1.0721 val_acc=0.7035 epoch_time=0.03s total=6.27s *           
[EPOCH 179] train_loss=1.1049 val_loss=1.0721 val_acc=0.7034 epoch_time=0.03s total=6.30s             
[EPOCH 180] train_loss=1.1045 val_loss=1.0720 val_acc=0.7032 epoch_time=0.03s total=6.33s             
[EPOCH 181] train_loss=1.1041 val_loss=1.0720 val_acc=0.7035 epoch_time=0.03s total=6.36s *           
[EPOCH 182] train_loss=1.1052 val_loss=1.0720 val_acc=0.7037 epoch_time=0.03s total=6.39s             
[EPOCH 183] train_loss=1.1044 val_loss=1.0719 val_acc=0.7036 epoch_time=0.03s total=6.42s             
[EPOCH 184] train_loss=1.1043 val_loss=1.0719 val_acc=0.7032 epoch_time=0.03s total=6.45s *           
[EPOCH 185] train_loss=1.1045 val_loss=1.0719 val_acc=0.7031 epoch_time=0.03s total=6.48s             
[EPOCH 186] train_loss=1.1040 val_loss=1.0718 val_acc=0.7031 epoch_time=0.03s total=6.51s             
[EPOCH 187] train_loss=1.1029 val_loss=1.0717 val_acc=0.7034 epoch_time=0.03s total=6.54s *           
[EPOCH 188] train_loss=1.1035 val_loss=1.0716 val_acc=0.7034 epoch_time=0.03s total=6.57s             
[EPOCH 189] train_loss=1.1039 val_loss=1.0715 val_acc=0.7033 epoch_time=0.03s total=6.60s *           
[EPOCH 190] train_loss=1.1038 val_loss=1.0715 val_acc=0.7035 epoch_time=0.03s total=6.63s             
[EPOCH 191] train_loss=1.1031 val_loss=1.0715 val_acc=0.7036 epoch_time=0.03s total=6.66s             
[EPOCH 192] train_loss=1.1035 val_loss=1.0715 val_acc=0.7036 epoch_time=0.03s total=6.69s             
[EPOCH 193] train_loss=1.1030 val_loss=1.0714 val_acc=0.7034 epoch_time=0.03s total=6.72s *           
[EPOCH 194] train_loss=1.1034 val_loss=1.0714 val_acc=0.7032 epoch_time=0.03s total=6.75s             
[EPOCH 195] train_loss=1.1031 val_loss=1.0713 val_acc=0.7034 epoch_time=0.03s total=6.78s             
[EPOCH 196] train_loss=1.1043 val_loss=1.0713 val_acc=0.7035 epoch_time=0.03s total=6.81s *           
[EPOCH 197] train_loss=1.1028 val_loss=1.0712 val_acc=0.7035 epoch_time=0.03s total=6.84s             
[EPOCH 198] train_loss=1.1031 val_loss=1.0711 val_acc=0.7037 epoch_time=0.03s total=6.87s *           
[EPOCH 199] train_loss=1.1030 val_loss=1.0710 val_acc=0.7036 epoch_time=0.03s total=6.90s             
[EPOCH 200] train_loss=1.1030 val_loss=1.0710 val_acc=0.7035 epoch_time=0.03s total=6.93s *           
                                                                                                      
[TRAINING] Completed in 6.93s (restored weights from epoch 200, val_loss=1.0710)                      
----------------------------------------                                                              
[SCORES] MLP - Encoder: TF-IDF                                                                        
Accuracy:    0.7017                                                                                   
