[LOAD] No existing BOW features found in data/bow_depth1. Computing from scratch...                   
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] BOW encoding 317329 documents...                                                             
[ENCODE] BOW done in 15.53s -> matrix (317329, 5000)                                                  
                                                                                                      
[SAVE] BOW matrix: (317329, 5000) -> data/bow_depth1                                                  
[SAVE] Split indices: train=222130, test=95199 -> data/bow_depth1                                     
                                                                                                      
[LOAD] Loading split indices from data/bow_depth1                                                     
                                                                                                      
[TRAINING] Starting MLP training on BOW features using device: cuda                                   
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[EPOCH 45] train_loss=1.1337 val_loss=1.0945 val_acc=0.6956 epoch_time=0.03s total=1.36s *            
[EPOCH 46] train_loss=1.1307 val_loss=1.0918 val_acc=0.6957 epoch_time=0.03s total=1.39s *            
[EPOCH 47] train_loss=1.1280 val_loss=1.0892 val_acc=0.6961 epoch_time=0.03s total=1.42s *            
[EPOCH 48] train_loss=1.1250 val_loss=1.0868 val_acc=0.6963 epoch_time=0.03s total=1.45s *            
[EPOCH 49] train_loss=1.1226 val_loss=1.0847 val_acc=0.6964 epoch_time=0.03s total=1.48s *
[EPOCH 50] train_loss=1.1216 val_loss=1.0825 val_acc=0.6969 epoch_time=0.03s total=1.51s *            
[EPOCH 51] train_loss=1.1196 val_loss=1.0805 val_acc=0.6969 epoch_time=0.03s total=1.54s *            
[EPOCH 52] train_loss=1.1163 val_loss=1.0785 val_acc=0.6969 epoch_time=0.03s total=1.57s *            
[EPOCH 53] train_loss=1.1140 val_loss=1.0768 val_acc=0.6973 epoch_time=0.03s total=1.60s *            
[EPOCH 54] train_loss=1.1117 val_loss=1.0751 val_acc=0.6975 epoch_time=0.03s total=1.63s *            
[EPOCH 55] train_loss=1.1104 val_loss=1.0734 val_acc=0.6973 epoch_time=0.03s total=1.66s *            
[EPOCH 56] train_loss=1.1095 val_loss=1.0717 val_acc=0.6981 epoch_time=0.03s total=1.69s *            
[EPOCH 57] train_loss=1.1074 val_loss=1.0698 val_acc=0.6989 epoch_time=0.03s total=1.72s *            
[EPOCH 58] train_loss=1.1052 val_loss=1.0681 val_acc=0.6995 epoch_time=0.03s total=1.75s *            
[EPOCH 59] train_loss=1.1046 val_loss=1.0663 val_acc=0.6996 epoch_time=0.03s total=1.78s *            
[EPOCH 60] train_loss=1.1034 val_loss=1.0646 val_acc=0.7002 epoch_time=0.03s total=1.81s *            
[EPOCH 61] train_loss=1.0996 val_loss=1.0634 val_acc=0.7000 epoch_time=0.03s total=1.84s *            
[EPOCH 62] train_loss=1.0995 val_loss=1.0620 val_acc=0.7002 epoch_time=0.03s total=1.87s *            
[EPOCH 63] train_loss=1.0980 val_loss=1.0605 val_acc=0.7004 epoch_time=0.03s total=1.90s *            
[EPOCH 64] train_loss=1.0965 val_loss=1.0591 val_acc=0.7008 epoch_time=0.03s total=1.93s *            
[EPOCH 65] train_loss=1.0947 val_loss=1.0576 val_acc=0.7009 epoch_time=0.03s total=1.96s *            
[EPOCH 66] train_loss=1.0938 val_loss=1.0563 val_acc=0.7012 epoch_time=0.03s total=1.99s *            
[EPOCH 67] train_loss=1.0920 val_loss=1.0549 val_acc=0.7013 epoch_time=0.03s total=2.02s *            
[EPOCH 68] train_loss=1.0908 val_loss=1.0536 val_acc=0.7015 epoch_time=0.03s total=2.05s *            
[EPOCH 69] train_loss=1.0894 val_loss=1.0525 val_acc=0.7014 epoch_time=0.03s total=2.08s *            
[EPOCH 70] train_loss=1.0883 val_loss=1.0513 val_acc=0.7017 epoch_time=0.03s total=2.11s *            
